timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1788733175063,202,OpenApplication,200,OK,S01_Browse_And_Checkout 1-3,text,true,,53066,598,5,5,http://localhost/,195,0,0
1788733175887,150,S01_Browse_And_Checkout_T06_OpenChairProductCard,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,46920,786,5,5,null,0,2,0
1788733175887,150,OpenChairProductCard,200,OK,S01_Browse_And_Checkout 1-2,text,true,,46920,786,5,5,http://localhost/products/ancient-chair5,149,0,0
1788733177225,197,S01_Browse_And_Checkout_T02_NavigateToTables,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-5,,true,,50851,763,5,5,null,0,2,0
1788733177226,197,NavigateToTables,200,OK,S01_Browse_And_Checkout 1-5,text,true,,50851,763,5,5,http://localhost/tables,196,0,0
1788733177270,184,S01_Browse_And_Checkout_T02_NavigateToTables,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-3,,true,,50851,763,5,5,null,0,1,0
1788733177271,184,NavigateToTables,200,OK,S01_Browse_And_Checkout 1-3,text,true,,50851,763,5,5,http://localhost/tables,182,0,0
1788733178407,140,S01_Browse_And_Checkout_T06_OpenChairProductCard,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-4,,true,,47437,786,5,5,null,0,3,0
1788733178408,140,OpenChairProductCard,200,OK,S01_Browse_And_Checkout 1-4,text,true,,47437,786,5,5,http://localhost/products/ancient-chair3,139,0,0
1788733178873,192,S01_Browse_And_Checkout_T03_OpenTableProductCard,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-1,,true,,47178,778,5,5,null,0,3,0
1788733178874,192,OpenTableProductCard,200,OK,S01_Browse_And_Checkout 1-1,text,true,,47178,778,5,5,http://localhost/products/table1,142,0,0
1788733179203,114,S01_Browse_And_Checkout_T07_AddChairToCart,200,"Number of samples in transaction : 1, number of failing samples : 0",S01_Browse_And_Checkout 1-2,,true,,778,1082,5,5,null,0,18,0
1788733179204,114,AddChairToCart,200,OK,S01_Browse_And_Checkout 1-2,text,true,,778,1082,5,5,http://localhost/wp-admin/admin-ajax.php,114,0,0
